"Code du département","Libellé du département","Code commune","Libellé commune","N Panneau Liste","Libellé abrégé liste","Libellé Etendu Liste","Nuance Liste","N candidat","Sexe candidat","Nom candidat","Prénom candidat","Candidat au conseil communautaire"
33,"Gironde",519,"Le Taillan-Médoc",2,"LE TAILLAN AUTREMENT","LE TAILLAN AUTREMENT","LDVG",1,"F","DAMESTOY","Pascale","O"
33,"Gironde",519,"Le Taillan-Médoc",3,"POUR LE TAILLAN","Pour le Taillan","LDVG",1,"M","LAURISSERGUES","Fabien","O"
33,"Gironde",522,"Talence",1,"NET","Nouvel Esprit Talence","LDIV",1,"M","PRADÈS","Laurent","O"
33,"Gironde",522,"Talence",2,"TE","Talence, Ensemble","LDVC",1,"M","SALLABERRY","Emmanuel","O"
33,"Gironde",522,"Talence",3,"TALENCE EN TRANSITION","TALENCE EN TRANSITION","LDVG",1,"F","RAMI","Isabelle","O"
33,"Gironde",550,"Villenave-d'Ornon",1,"VILLENAVE ÉCO SOL ET CITO","Villenave écologique, solidaire et citoyenne","LUG",1,"F","ANFRAY","Stephanie","O"
33,"Gironde",550,"Villenave-d'Ornon",2,"VONHNA","VILLENAVE D'ORNON, NOTRE HISTOIRE, NOTRE AVENIR","LDVD",1,"M","PUJOL","Patrick","O"
33,"Gironde",550,"Villenave-d'Ornon",3,"AVENIR","Avenir","LDIV",1,"M","DUVARCI","Recep","O"
33,"Gironde",550,"Villenave-d'Ornon",4,"CHANGER!","CHANGER!","LDVG",1,"M","BOUILLOT","Patrick","O"
33,"Gironde",550,"Villenave-d'Ornon",5,"RENOUVO","RenouVO","LREM",1,"M","DELHOUME","Denis","O"
